entry_type,timeframe,strategy,exit_type,trades,net_profit_usd
Standard Limit,H1,FVG,OTHER_OR_UNKNOWN,2,-26.73
Standard Limit,H1,FVG,SOFT_TP,3,19.5
Standard Limit,H1,FVG,STOP_LOSS,14,-66.38
Standard Limit,H1,FVG,TAKE_PROFIT,2,24.560000000000002
Standard Limit,H1,IC,STOP_LOSS,7,-51.11
Standard Limit,H1,IC,TAKE_PROFIT,5,38.79
Standard Limit,H1,OB,SOFT_TP,3,27.869999999999997
Standard Limit,H1,OB,STOP_LOSS,6,-25.3
Standard Limit,H1,OB,TAKE_PROFIT,2,70.88
Standard Limit,H1,SND,STOP_LOSS,2,0.4
Standard Limit,H4,FVG,STOP_LOSS,7,-163.95
Standard Limit,H4,FVG,TAKE_PROFIT,1,14.29
Standard Limit,H4,IC,OTHER_OR_UNKNOWN,2,-27.22
Standard Limit,H4,IC,STOP_LOSS,3,-32.07
Standard Limit,H4,OB,STOP_LOSS,1,-19.64
Standard Limit,M30,FVG,OTHER_OR_UNKNOWN,2,-13.98
Standard Limit,M30,FVG,SOFT_TP,4,-9.23
Standard Limit,M30,FVG,STOP_LOSS,14,-88.80000000000001
Standard Limit,M30,FVG,TAKE_PROFIT,3,62.4
Standard Limit,M30,IC,STOP_LOSS,14,-67.16
Standard Limit,M30,IC,TAKE_PROFIT,3,48.080000000000005
Standard Limit,M30,OB,OTHER_OR_UNKNOWN,1,0.82
Standard Limit,M30,OB,SOFT_TP,2,91.75999999999999
Standard Limit,M30,OB,STOP_LOSS,10,-38.07
Standard Limit,M30,OB,TAKE_PROFIT,2,17.85
Unknown,H1,FVG,OTHER_OR_UNKNOWN,1,-38.95
Unknown,H1,OB,OTHER_OR_UNKNOWN,1,-4.82
Unknown,H4,FVG,OTHER_OR_UNKNOWN,1,12.99
Unknown,M15,BPR,OTHER_OR_UNKNOWN,2,18.3
Unknown,M30,FVG,OTHER_OR_UNKNOWN,3,12.6
Unknown,M30,FVG,TAKE_PROFIT,1,22.54
Unknown,M30,IC,STOP_LOSS,1,-5.52
Unknown,M30,IC,TAKE_PROFIT,1,6.37
Unknown,M30,OB,TAKE_PROFIT,1,15.24
Unknown,M30,Swapzone,TAKE_PROFIT,1,32.14
WatchZone,D1,IC,SOFT_TP,3,0.27999999999999936
WatchZone,D1,IC,STOP_LOSS,1,5.45
WatchZone,D1,IC,TAKE_PROFIT,1,6.72
WatchZone,D1,Pivot,SOFT_TP,4,-16.89
WatchZone,H1,Breaker,STOP_LOSS,1,-1.59
WatchZone,H1,FVG,OTHER_OR_UNKNOWN,3,-40.24
WatchZone,H1,FVG,SOFT_TP,18,-25.839999999999996
WatchZone,H1,FVG,STOP_LOSS,5,-65.63
WatchZone,H1,IC,OTHER_OR_UNKNOWN,1,-23.19
WatchZone,H1,IC,SOFT_TP,23,10.87
WatchZone,H1,IC,STOP_LOSS,2,-44.589999999999996
WatchZone,H1,IC,TAKE_PROFIT,4,48.75
WatchZone,H1,OB,SOFT_TP,2,30.72
WatchZone,H1,OB,STOP_LOSS,2,-17.189999999999998
WatchZone,H1,Pivot,OTHER_OR_UNKNOWN,1,-11.33
WatchZone,H1,Pivot,SOFT_TP,5,28.97
WatchZone,H1,Pivot,STOP_LOSS,2,-52.72
WatchZone,H1,SND,SOFT_TP,1,2.5
WatchZone,H1,Swapzone,SOFT_TP,2,-15.75
WatchZone,H1,Swapzone,STOP_LOSS,2,-1.49
WatchZone,H4,FVG,OTHER_OR_UNKNOWN,5,-3.68
WatchZone,H4,FVG,SOFT_TP,6,16.34
WatchZone,H4,IC,SOFT_TP,8,50.239999999999995
WatchZone,H4,IC,STOP_LOSS,2,-37.43
WatchZone,H4,IC,TAKE_PROFIT,4,38.4
WatchZone,H4,OB,SOFT_TP,3,-2.52
WatchZone,H4,Pivot,SOFT_TP,2,-1.6
WatchZone,H4,SND,TAKE_PROFIT,4,23.7
WatchZone,H4,Swapzone,SOFT_TP,1,-4.52
WatchZone,H4,Swapzone,TAKE_PROFIT,3,34.62
WatchZone,M15,BPR,STOP_LOSS,1,0.2
WatchZone,M15,Breaker,SOFT_TP,2,-14.5
WatchZone,M15,Breaker,STOP_LOSS,2,-78.16
WatchZone,M15,FVG,SOFT_TP,7,45.2
WatchZone,M15,FVG,STOP_LOSS,1,0.28
WatchZone,M15,FVG,TAKE_PROFIT,4,40.12
WatchZone,M15,IC,SOFT_TP,9,-4.910000000000001
WatchZone,M15,IC,TAKE_PROFIT,1,19.86
WatchZone,M30,BPR,TAKE_PROFIT,1,9.64
WatchZone,M30,FVG,OTHER_OR_UNKNOWN,5,-48.64
WatchZone,M30,FVG,SOFT_TP,38,53.28000000000001
WatchZone,M30,FVG,STOP_LOSS,18,-223.32999999999998
WatchZone,M30,FVG,TAKE_PROFIT,4,50.12
WatchZone,M30,IC,SOFT_TP,16,-51.32
WatchZone,M30,IC,STOP_LOSS,12,-14.969999999999999
WatchZone,M30,IC,TAKE_PROFIT,2,12.4
WatchZone,M30,OB,OTHER_OR_UNKNOWN,3,-29.119999999999997
WatchZone,M30,OB,SOFT_TP,24,11.839999999999998
WatchZone,M30,OB,STOP_LOSS,8,-144.74
WatchZone,M30,OB,TAKE_PROFIT,3,24.17
WatchZone,M30,SND,SOFT_TP,2,-0.15000000000000036
WatchZone,M30,SND,STOP_LOSS,3,-30.47
WatchZone,M30,SND,TAKE_PROFIT,1,39.17
WatchZone,M30,Swapzone,OTHER_OR_UNKNOWN,1,-0.73
WatchZone,M30,Swapzone,SOFT_TP,14,15.450000000000001
WatchZone,M30,Swapzone,STOP_LOSS,1,-8.8
WatchZone,M30,Swapzone,TAKE_PROFIT,5,164.67000000000002
